LICENCE CODE,LICENSE DESCRIPTION,YEAR,WEEK,AVERAGE DAYS TO ISSUE LICENSE,MEDIAN DAYS TO ISSUE LICENSE,TOTAL LICENSES ISSUED
1010,Limited Business License,2023,12/11/2023 - 12/17/2023,3.52,1, 
1006,Retail Food Establishment,2023,12/11/2023 - 12/17/2023,76.53,35,55
1275,Filling Station,2023,12/04/2023 - 12/10/2023,18,18,3
1010,Limited Business License,2023,12/04/2023 - 12/10/2023,5.51,1,49
1006,Retail Food Establishment,2023,12/04/2023 - 12/10/2023,30,21,27
1010,Limited Business License,2023,11/27/2023 - 12/03/2023,1,1,25
1006,Retail Food Establishment,2023,11/27/2023 - 12/03/2023,45.33,20,24
1275,Filling Station,2023,11/20/2023 - 11/26/2023, ,22,1
1010,Limited Business License,2023,11/20/2023 - 11/26/2023,1.53,1,45
1009,Manufacturing Establishments,2023,11/20/2023 - 11/26/2023,16,16,2
1006,Retail Food Establishment,2023,11/20/2023 - 11/26/2023,31.67,22,15
1010,Limited Business License,2023,11/13/2023 - 11/19/2023,2.9,1,60
1009,Manufacturing Establishments,2023,11/13/2023 - 11/19/2023,109.5,109,2
1006,Retail Food Establishment,2023,11/13/2023 - 11/19/2023,52.73,26,30
1010,Limited Business License,2023,11/06/2023 - 11/12/2023,9.55,1,55
1006,Retail Food Establishment,2023,11/06/2023 - 11/12/2023,53.77, ,31
1275,Filling Station,2023,10/30/2023 - 11/05/2023,16.5,15,4
1010,Limited Business License,2023,10/30/2023 - 11/05/2023,12.39,1,61
1009,Manufacturing Establishments,2023,10/30/2023 - 11/05/2023,30,37,5
1006,Retail Food Establishment,2023,10/30/2023 - 11/05/2023,64.7,19,43
1010,Limited Business License,2023,10/23/2023 - 10/29/2023,2.76,1,45
1006,Retail Food Establishment,2023,10/23/2023 - 10/29/2023,49.34,25,38
1275,Filling Station,2023,10/16/2023 - 10/22/2023,21.5,21,4
1010,Limited Business License,2023,10/16/2023 - 10/22/2023,1.45,1,60
1009,Manufacturing Establishments,2023,10/16/2023 - 10/22/2023,17,17,1
1006,Retail Food Establishment,2023,10/16/2023 - 10/22/2023,42.08,21,38
1010,Limited Business License,2023,10/09/2023 - 10/15/2023,2.45,1,44
1009,Manufacturing Establishments,2023,10/09/2023 - 10/15/2023,88.67,119,3
1006,Retail Food Establishment,2023,10/09/2023 - 10/15/2023,104.12,37,34
1275,Filling Station,2023,10/02/2023 - 10/08/2023,12,12,2
1010,Limited Business License,2023,10/02/2023 - 10/08/2023,12.8,1,56
1006,Retail Food Establishment,2023,10/02/2023 - 10/08/2023,46.24,28,58
1010,Limited Business License,2023,09/25/2023 - 10/01/2023,2.76,1,41
1009,Manufacturing Establishments,2023,09/25/2023 - 10/01/2023,38,38,1
1006,Retail Food Establishment,2023,09/25/2023 - 10/01/2023,55.07,36,30
1010,Limited Business License,2023,09/18/2023 - 09/24/2023,20.74,1,81
1006,Retail Food Establishment,2023,09/18/2023 - 09/24/2023,89.16,,51
1275,Filling Station,2023,09/11/2023 - 09/17/2023,19, ,1
1010,Limited Business License,2023,09/11/2023 - 09/17/2023,2.81,1,58
1006,Retail Food Establishment,2023,09/11/2023 - 09/17/2023,72.82,24,28
1275,Filling Station,2023,09/04/2023 - 09/10/2023,15,15,3
1010,Limited Business License,2023,09/04/2023 - 09/10/2023,1.7, ,81
1009,Manufacturing Establishments,2023,09/04/2023 - 09/10/2023, ,9,1
1006,Retail Food Establishment,2023,09/04/2023 - 09/10/2023,40.12,20,34
1010,Limited Business License,2023,08/28/2023 - 09/03/2023,19.71,1,58
1006,Retail Food Establishment,2023,08/28/2023 - 09/03/2023,155.44, ,9
1010,Limited Business License,2023,08/21/2023 - 08/27/2023,2.34,1,53
1009,Manufacturing Establishments,2023,08/21/2023 - 08/27/2023,45,45,1
1006,Retail Food Establishment,2023,08/21/2023 - 08/27/2023,86.94,28,31
1010,Limited Business License,2023,08/14/2023 - 08/20/2023,5.46,1,65
1009,Manufacturing Establishments,2023,08/14/2023 - 08/20/2023,28,28,1
1006,Retail Food Establishment,2023,08/14/2023 - 08/20/2023,68.91,40,33
1010,Limited Business License,2023,08/07/2023 - 08/13/2023,2.23,1,52
1006,Retail Food Establishment,2023,08/07/2023 - 08/13/2023,46.68,26,19
1275,Filling Station,2023,07/31/2023 - 08/06/2023,8,8,1
1010,Limited Business License,2023,07/31/2023 - 08/06/2023,28.88,1,73
1006,Retail Food Establishment,2023,07/31/2023 - 08/06/2023,42.69,21,32
1275,Filling Station,2023,07/24/2023 - 07/30/2023,6,6,3
1010,Limited Business License,2023,07/24/2023 - 07/30/2023,3.26,1,47
1009,Manufacturing Establishments,2023,07/24/2023 - 07/30/2023, ,62,1
1006,Retail Food Establishment,2023,07/24/2023 - 07/30/2023,54.63,32,32
1010,Limited Business License,2023,07/17/2023 - 07/23/2023,8.85,1,41
1006,Retail Food Establishment,2023,07/17/2023 - 07/23/2023,50.68,27,34
1275,Filling Station,2023,07/10/2023 - 07/16/2023,48,48,1
1010,Limited Business License,2023,07/10/2023 - 07/16/2023,6.8,  ,60
1009,Manufacturing Establishments,2023,07/10/2023 - 07/16/2023,34,34,2
1006,Retail Food Establishment,2023,07/10/2023 - 07/16/2023,55.36,33,44
1010,Limited Business License,2023,07/03/2023 - 07/09/2023,,1,35
1009,Manufacturing Establishments,2023,07/03/2023 - 07/09/2023,16,16,1
1006,Retail Food Establishment,2023,07/03/2023 - 07/09/2023,44.52,31,25
1275,Filling Station,2023,06/26/2023 - 07/02/2023,16,16,4
1010,Limited Business License,2023,06/26/2023 - 07/02/2023,1.25,1,64
1009,Manufacturing Establishments,2023,06/26/2023 - 07/02/2023,92, ,1
1006,Retail Food Establishment,2023,06/26/2023 - 07/02/2023,54.54,17,28
1010,Limited Business License,2023,06/19/2023 - 06/25/2023,1.37,1,41
1006,Retail Food Establishment,2023,06/19/2023 - 06/25/2023,38.21,16,29
1275,Filling Station,2023,06/12/2023 - 06/18/2023,50.8,44,5
1010,Limited Business License,2023,06/12/2023 - 06/18/2023,4.92,1,52
1006,Retail Food Establishment,2023,06/12/2023 - 06/18/2023,173.95,34,42
1010,Limited Business License,2023,06/05/2023 - 06/11/2023,12.33,1,57
1009,Manufacturing Establishments,2023,06/05/2023 - 06/11/2023,42.5,37,4
1006,Retail Food Establishment,2023,06/05/2023 - 06/11/2023,26.85,25,20
1275,Filling Station,2023,05/29/2023 - 06/04/2023,15,15,2
1010,Limited Business License,2023,05/29/2023 - 06/04/2023,3.86,1,36
1009,Manufacturing Establishments,2023,05/29/2023 - 06/04/2023,48,48,2
1006,Retail Food Establishment,2023,05/29/2023 - 06/04/2023,59.11,20,35
1010,Limited Business License,2023,05/22/2023 - 05/28/2023,13.04,1,47
1009,Manufacturing Establishments,2023,05/22/2023 - 05/28/2023,94,46,4
1006,Retail Food Establishment,2023,05/22/2023 - 05/28/2023,51.2,22,49
1275,Filling Station,2023,05/15/2023 - 05/21/2023,25,25,1
1010,Limited Business License,2023,05/15/2023 - 05/21/2023,5.59,1,64
1009,Manufacturing Establishments,2023,05/15/2023 - 05/21/2023,27.5,27,4
1006,Retail Food Establishment,2023,05/15/2023 - 05/21/2023,43.1,28,48
1275,Filling Station,2023,05/08/2023 - 05/14/2023,31.5,31,2
1010,Limited Business License,2023,05/08/2023 - 05/14/2023,2.81,1,32
1009,Manufacturing Establishments,2023,05/08/2023 - 05/14/2023,5,5,1
1006,Retail Food Establishment,2023,05/08/2023 - 05/14/2023,90.4,15,30
1010,Limited Business License,2023,05/01/2023 - 05/07/2023,10.71,1,48
1009,Manufacturing Establishments,2023,05/01/2023 - 05/07/2023,15,15,1
1006,Retail Food Establishment,2023,05/01/2023 - 05/07/2023,70.62,18,29
1010,Limited Business License,2023,04/24/2023 - 04/30/2023,1.18,1,55
1009,Manufacturing Establishments,2023,04/24/2023 - 04/30/2023,25,25,2
1006,Retail Food Establishment,2023,04/24/2023 - 04/30/2023,36.55,23,40
1275,Filling Station,2023,04/17/2023 - 04/23/2023,82,105,4
1010,Limited Business License,2023,04/17/2023 - 04/23/2023,1.13,1,39
1006,Retail Food Establishment,2023,04/17/2023 - 04/23/2023,48,21,34
1010,Limited Business License,2023,04/10/2023 - 04/16/2023,2.49,1,63
1006,Retail Food Establishment,2023,04/10/2023 - 04/16/2023,58.29,21,42
1010,Limited Business License,2023,04/03/2023 - 04/09/2023,14.28,1,76
1009,Manufacturing Establishments,2023,04/03/2023 - 04/09/2023,129,129,1
1006,Retail Food Establishment,2023,04/03/2023 - 04/09/2023,71.47,54,17
1275,Filling Station,2023,03/27/2023 - 04/02/2023,272,272,2
1010,Limited Business License,2023,03/27/2023 - 04/02/2023,2.36,1,64
1009,Manufacturing Establishments,2023,03/27/2023 - 04/02/2023,15,15,3
1006,Retail Food Establishment,2023,03/27/2023 - 04/02/2023,119.05,35,38
1010,Limited Business License,2023,03/20/2023 - 03/26/2023,4.07,1,45
1009,Manufacturing Establishments,2023,03/20/2023 - 03/26/2023,28,28,1
1006,Retail Food Establishment,2023,03/20/2023 - 03/26/2023,49.79,17,42
1275,Filling Station,2023,03/13/2023 - 03/19/2023,17,17,1
1010,Limited Business License,2023,03/13/2023 - 03/19/2023,1.97,1,87
1009,Manufacturing Establishments,2023,03/13/2023 - 03/19/2023,22,22,1
1006,Retail Food Establishment,2023,03/13/2023 - 03/19/2023,148.57,46,51
1275,Filling Station,2023,03/06/2023 - 03/12/2023,57,57,3
1010,Limited Business License,2023,03/06/2023 - 03/12/2023,3.11,1,71
1006,Retail Food Establishment,2023,03/06/2023 - 03/12/2023,59.91,33,23
1275,Filling Station,2023,02/27/2023 - 03/05/2023,94,94,2
1010,Limited Business License,2023,02/27/2023 - 03/05/2023,4.83,1,64
1006,Retail Food Establishment,2023,02/27/2023 - 03/05/2023,72,19,30
1010,Limited Business License,2023,02/20/2023 - 02/26/2023,1.46,1,57
1009,Manufacturing Establishments,2023,02/20/2023 - 02/26/2023,12,12,2
1006,Retail Food Establishment,2023,02/20/2023 - 02/26/2023,59.14,30,29
1275,Filling Station,2023,02/13/2023 - 02/19/2023,11,11,2
1010,Limited Business License,2023,02/13/2023 - 02/19/2023,1.74,1,42
1009,Manufacturing Establishments,2023,02/13/2023 - 02/19/2023,15,18,3
1006,Retail Food Establishment,2023,02/13/2023 - 02/19/2023,40.89,23,37
1010,Limited Business License,2023,02/06/2023 - 02/12/2023,3.39,1,71
1006,Retail Food Establishment,2023,02/06/2023 - 02/12/2023,48.82,17,33
1275,Filling Station,2023,01/30/2023 - 02/05/2023,49,49,1
1010,Limited Business License,2023,01/30/2023 - 02/05/2023,1.11,1,57
1009,Manufacturing Establishments,2023,01/30/2023 - 02/05/2023,987,987,1
1006,Retail Food Establishment,2023,01/30/2023 - 02/05/2023,91.74,27,19
1275,Filling Station,2023,01/23/2023 - 01/29/2023,47,47,3
1010,Limited Business License,2023,01/23/2023 - 01/29/2023,1.29,1,77
1009,Manufacturing Establishments,2023,01/23/2023 - 01/29/2023,14,14,2
1006,Retail Food Establishment,2023,01/23/2023 - 01/29/2023,89.5,26,22
1275,Filling Station,2023,01/16/2023 - 01/22/2023,50,50,2
1010,Limited Business License,2023,01/16/2023 - 01/22/2023,2.05,1,40
1006,Retail Food Establishment,2023,01/16/2023 - 01/22/2023,42.54,26,28
1275,Filling Station,2023,01/09/2023 - 01/15/2023,22,22,2
1010,Limited Business License,2023,01/09/2023 - 01/15/2023,18.31,1,48
1009,Manufacturing Establishments,2023,01/09/2023 - 01/15/2023,19.2,21,5
1006,Retail Food Establishment,2023,01/09/2023 - 01/15/2023,85.65,34,31
1275,Filling Station,2023,01/02/2023 - 01/08/2023,29,29,1
1010,Limited Business License,2023,01/02/2023 - 01/08/2023,1.15,1,41
1006,Retail Food Establishment,2023,01/02/2023 - 01/08/2023,42.11,19,36
1010,Limited Business License,2023,01/01/2024 - 01/07/2024,17.78,1,36
1006,Retail Food Establishment,2023,01/01/2024 - 01/07/2024,38.21,19,19
1010,Limited Business License,2022,12/26/2022 - 01/01/2023,1.08,1,36
1006,Retail Food Establishment,2022,12/26/2022 - 01/01/2023,31.75,27,8
1010,Limited Business License,2022,12/19/2022 - 12/25/2022,1.95,1,40
1006,Retail Food Establishment,2022,12/19/2022 - 12/25/2022,62.74,14,34
1010,Limited Business License,2022,12/12/2022 - 12/18/2022,12.44,1,43
1009,Manufacturing Establishments,2022,12/12/2022 - 12/18/2022,14,14,1
1006,Retail Food Establishment,2022,12/12/2022 - 12/18/2022,84.97,29,31
1275,Filling Station,2022,12/05/2022 - 12/11/2022,22,22,2
1010,Limited Business License,2022,12/05/2022 - 12/11/2022,2.34,1,44
1006,Retail Food Establishment,2022,12/05/2022 - 12/11/2022,61,31,25
1010,Limited Business License,2022,11/28/2022 - 12/04/2022,1.78,1,46
1009,Manufacturing Establishments,2022,11/28/2022 - 12/04/2022,12,12,2
1006,Retail Food Establishment,2022,11/28/2022 - 12/04/2022,91.09,25,34
1010,Limited Business License,2022,11/21/2022 - 11/27/2022,2,1,43
1009,Manufacturing Establishments,2022,11/21/2022 - 11/27/2022,12,12,3
1006,Retail Food Establishment,2022,11/21/2022 - 11/27/2022,49.7,37,10
1010,Limited Business License,2022,11/14/2022 - 11/20/2022,2.58,1,45
1009,Manufacturing Establishments,2022,11/14/2022 - 11/20/2022,18,18,2
1006,Retail Food Establishment,2022,11/14/2022 - 11/20/2022,116.43,36,37
1275,Filling Station,2022,11/07/2022 - 11/13/2022,49,49,1
1010,Limited Business License,2022,11/07/2022 - 11/13/2022,1.56,1,77
1009,Manufacturing Establishments,2022,11/07/2022 - 11/13/2022,15,15,1
1006,Retail Food Establishment,2022,11/07/2022 - 11/13/2022,69.86,46,21
1010,Limited Business License,2022,10/31/2022 - 11/06/2022,3.94,1,50
1006,Retail Food Establishment,2022,10/31/2022 - 11/06/2022,81.5,34,32
1275,Filling Station,2022,10/24/2022 - 10/30/2022,14,13,6
1010,Limited Business License,2022,10/24/2022 - 10/30/2022,2.65,1,51
1009,Manufacturing Establishments,2022,10/24/2022 - 10/30/2022,23,23,1
1006,Retail Food Establishment,2022,10/24/2022 - 10/30/2022,60.23,34,44
1010,Limited Business License,2022,10/17/2022 - 10/23/2022,1.25,1,57
1006,Retail Food Establishment,2022,10/17/2022 - 10/23/2022,66,30,35
1010,Limited Business License,2022,10/10/2022 - 10/16/2022,18.29,1,55
1009,Manufacturing Establishments,2022,10/10/2022 - 10/16/2022,10,10,1
1006,Retail Food Establishment,2022,10/10/2022 - 10/16/2022,58.79,30,43
1275,Filling Station,2022,10/03/2022 - 10/09/2022,11,11,2
1010,Limited Business License,2022,10/03/2022 - 10/09/2022,4.01,1,71
1009,Manufacturing Establishments,2022,10/03/2022 - 10/09/2022,11,11,4
1006,Retail Food Establishment,2022,10/03/2022 - 10/09/2022,50.13,34,48
1010,Limited Business License,2022,09/26/2022 - 10/02/2022,1.56,1,43
1009,Manufacturing Establishments,2022,09/26/2022 - 10/02/2022,355.5,466,4
1006,Retail Food Establishment,2022,09/26/2022 - 10/02/2022,40.43,27,28
1010,Limited Business License,2022,09/19/2022 - 09/25/2022,8.41,1,70
1006,Retail Food Establishment,2022,09/19/2022 - 09/25/2022,54.59,33,22
1010,Limited Business License,2022,09/12/2022 - 09/18/2022,7.03,1,97
1006,Retail Food Establishment,2022,09/12/2022 - 09/18/2022,66.39,15,44
1010,Limited Business License,2022,09/05/2022 - 09/11/2022,1.89,1,45
1006,Retail Food Establishment,2022,09/05/2022 - 09/11/2022,87.82,79,28
1010,Limited Business License,2022,08/29/2022 - 09/04/2022,14.47,1,70
1006,Retail Food Establishment,2022,08/29/2022 - 09/04/2022,58.57,25,30
1275,Filling Station,2022,08/22/2022 - 08/28/2022,91,91,2
1010,Limited Business License,2022,08/22/2022 - 08/28/2022,1.45,1,40
1009,Manufacturing Establishments,2022,08/22/2022 - 08/28/2022,17,17,1
1006,Retail Food Establishment,2022,08/22/2022 - 08/28/2022,24.58,19,26
1010,Limited Business License,2022,08/15/2022 - 08/21/2022,1.47,1,58
1006,Retail Food Establishment,2022,08/15/2022 - 08/21/2022,45.58,24,33
1010,Limited Business License,2022,08/08/2022 - 08/14/2022,3.61,1,62
1006,Retail Food Establishment,2022,08/08/2022 - 08/14/2022,73.59,56,29
1010,Limited Business License,2022,08/01/2022 - 08/07/2022,3.41,1,58
1006,Retail Food Establishment,2022,08/01/2022 - 08/07/2022,123.42,46,26
1010,Limited Business License,2022,07/25/2022 - 07/31/2022,3.7,1,83
1006,Retail Food Establishment,2022,07/25/2022 - 07/31/2022,42.31,28,45
1275,Filling Station,2022,07/18/2022 - 07/24/2022,9,9,2
1010,Limited Business License,2022,07/18/2022 - 07/24/2022,1.69,1,48
1006,Retail Food Establishment,2022,07/18/2022 - 07/24/2022,43.29,32,24
1275,Filling Station,2022,07/11/2022 - 07/17/2022,58,58,1
1010,Limited Business License,2022,07/11/2022 - 07/17/2022,2.81,1,36
1006,Retail Food Establishment,2022,07/11/2022 - 07/17/2022,49.69,32,36
1010,Limited Business License,2022,07/04/2022 - 07/10/2022,3.06,1,34
1009,Manufacturing Establishments,2022,07/04/2022 - 07/10/2022,882,882,3
1006,Retail Food Establishment,2022,07/04/2022 - 07/10/2022,31.68,15,25
1010,Limited Business License,2022,06/27/2022 - 07/03/2022,32.5,1,54
1006,Retail Food Establishment,2022,06/27/2022 - 07/03/2022,52.62,23,47
1010,Limited Business License,2022,06/20/2022 - 06/26/2022,11.82,1,45
1009,Manufacturing Establishments,2022,06/20/2022 - 06/26/2022,10,10,1
1006,Retail Food Establishment,2022,06/20/2022 - 06/26/2022,100.46,18,35
1010,Limited Business License,2022,06/13/2022 - 06/19/2022,1.16,1,77
1009,Manufacturing Establishments,2022,06/13/2022 - 06/19/2022,11.67,12,3
1006,Retail Food Establishment,2022,06/13/2022 - 06/19/2022,33.46,19,28
1010,Limited Business License,2022,06/06/2022 - 06/12/2022,1.11,1,28
1009,Manufacturing Establishments,2022,06/06/2022 - 06/12/2022,27,27,1
1006,Retail Food Establishment,2022,06/06/2022 - 06/12/2022,42.52,27,46
1275,Filling Station,2022,05/30/2022 - 06/05/2022,11,11,3
1010,Limited Business License,2022,05/30/2022 - 06/05/2022,7.02,1,42
1009,Manufacturing Establishments,2022,05/30/2022 - 06/05/2022,13.5,13,2
1006,Retail Food Establishment,2022,05/30/2022 - 06/05/2022,31.23,23,13
1275,Filling Station,2022,05/23/2022 - 05/29/2022,8,8,2
1010,Limited Business License,2022,05/23/2022 - 05/29/2022,1.96,1,56
1006,Retail Food Establishment,2022,05/23/2022 - 05/29/2022,64.45,41,29
1275,Filling Station,2022,05/16/2022 - 05/22/2022,35,35,2
1010,Limited Business License,2022,05/16/2022 - 05/22/2022,1.35,1,46
1009,Manufacturing Establishments,2022,05/16/2022 - 05/22/2022,41,41,3
1006,Retail Food Establishment,2022,05/16/2022 - 05/22/2022,59.43,42,30
1010,Limited Business License,2022,05/09/2022 - 05/15/2022,8.25,1,60
1009,Manufacturing Establishments,2022,05/09/2022 - 05/15/2022,20,20,1
1006,Retail Food Establishment,2022,05/09/2022 - 05/15/2022,55.65,22,34
1010,Limited Business License,2022,05/02/2022 - 05/08/2022,1.43,1,69
1009,Manufacturing Establishments,2022,05/02/2022 - 05/08/2022,51,51,1
1006,Retail Food Establishment,2022,05/02/2022 - 05/08/2022,71.51,29,41
1010,Limited Business License,2022,04/25/2022 - 05/01/2022,4.02,1,56
1009,Manufacturing Establishments,2022,04/25/2022 - 05/01/2022,13,13,1
1006,Retail Food Establishment,2022,04/25/2022 - 05/01/2022,45.04,28,45
1275,Filling Station,2022,04/18/2022 - 04/24/2022,38.5,24,4
1010,Limited Business License,2022,04/18/2022 - 04/24/2022,1.19,1,59
1006,Retail Food Establishment,2022,04/18/2022 - 04/24/2022,73.09,41,35
1010,Limited Business License,2022,04/11/2022 - 04/17/2022,9.81,1,70
1009,Manufacturing Establishments,2022,04/11/2022 - 04/17/2022,13,13,2
1006,Retail Food Establishment,2022,04/11/2022 - 04/17/2022,46.52,26,27
1010,Limited Business License,2022,04/04/2022 - 04/10/2022,1.78,1,60
1009,Manufacturing Establishments,2022,04/04/2022 - 04/10/2022,"1,399",126,3
1006,Retail Food Establishment,2022,04/04/2022 - 04/10/2022,140.83,57,42
1275,Filling Station,2022,03/28/2022 - 04/03/2022,11,11,2
1010,Limited Business License,2022,03/28/2022 - 04/03/2022,11,1,73
1009,Manufacturing Establishments,2022,03/28/2022 - 04/03/2022,15,15,1
1006,Retail Food Establishment,2022,03/28/2022 - 04/03/2022,40.95,29,40
1010,Limited Business License,2022,03/21/2022 - 03/27/2022,7.5,1,64
1009,Manufacturing Establishments,2022,03/21/2022 - 03/27/2022,412,412,2
1006,Retail Food Establishment,2022,03/21/2022 - 03/27/2022,48.23,29,52
1010,Limited Business License,2022,03/14/2022 - 03/20/2022,23.4,1,42
1006,Retail Food Establishment,2022,03/14/2022 - 03/20/2022,67.26,20,35
1010,Limited Business License,2022,03/07/2022 - 03/13/2022,1.39,1,57
1006,Retail Food Establishment,2022,03/07/2022 - 03/13/2022,41.33,18,30
1275,Filling Station,2022,02/28/2022 - 03/06/2022,56,56,6
1010,Limited Business License,2022,02/28/2022 - 03/06/2022,3.3,1,56
1009,Manufacturing Establishments,2022,02/28/2022 - 03/06/2022,266,266,1
1006,Retail Food Establishment,2022,02/28/2022 - 03/06/2022,52.09,23,33
1275,Filling Station,2022,02/21/2022 - 02/27/2022,19,19,2
1010,Limited Business License,2022,02/21/2022 - 02/27/2022,1,1,48
1009,Manufacturing Establishments,2022,02/21/2022 - 02/27/2022,58.33,8,3
1006,Retail Food Establishment,2022,02/21/2022 - 02/27/2022,113.56,28,18
1010,Limited Business License,2022,02/14/2022 - 02/20/2022,4.44,1,71
1009,Manufacturing Establishments,2022,02/14/2022 - 02/20/2022,11,11,1
